Date,Ticker,Entry_Price,Oracle_Score,Projected_Upside,Fair_Value,F_Score,Status,Safety_Badge,Momentum_Badge,Regime_Active
2026-01-04,360ONE.NS,1200.1,18.3,-67.7,387.59,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,3MINDIA.NS,36170.0,51.7,-88.6,4115.83,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,ABB.NS,5205.5,21.0,-84.3,816.14,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ACC.NS,1748.8,50.8,13.2,1979.05,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,ACMESOLAR.NS,240.47,15.4,-73.2,64.37,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,AIAENG.NS,4089.7,49.4,-58.4,1699.72,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,APLAPOLLO.NS,1931.9,29.6,-85.8,273.49,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,AUBANK.NS,999.4,42.9,-56.3,437.22,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,AWL.NS,236.27,16.7,-41.7,137.86,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,AADHARHFC.NS,500.55,41.5,-35.0,325.2,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,AARTIIND.NS,376.95,20.6,-62.5,141.18,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,AAVAS.NS,1443.4,28.5,-22.3,1121.78,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,ABBOTINDIA.NS,28125.0,36.8,-75.2,6984.09,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,ACE.NS,976.8,14.1,-74.6,248.27,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ADANIENSOL.NS,1057.9,32.7,-87.1,136.51,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,ADANIENT.NS,2279.8,26.1,-58.3,951.59,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ADANIGREEN.NS,1038.8,29.4,-86.9,135.63,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,ADANIPORTS.NS,1489.5,44.5,-58.6,616.27,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,ADANIPOWER.NS,148.17,27.5,-46.2,79.76,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,ATGL.NS,587.6,14.9,-99.5,3.23,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ABCAPITAL.NS,361.25,43.6,-45.5,196.98,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,ABFRL.NS,78.16,40.4,64.2,128.36,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ABLBL.NS,125.18,27.3,0.0,,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ABREL.NS,1664.2,18.0,0.0,,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ABSLAMC.NS,833.6,26.8,-40.2,498.57,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,AEGISLOG.NS,726.15,14.7,-59.7,292.4,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,AEGISVOPAK.NS,248.82,27.2,-95.1,12.08,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,AFCONS.NS,390.85,18.9,-47.6,204.78,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,AFFLE.NS,1782.7,23.3,-83.6,292.88,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,AJANTPHARM.NS,2949.2,32.7,-64.8,1039.35,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,AKUMS.NS,451.85,16.2,-56.9,194.91,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,AKZOINDIA.NS,3211.6,20.6,-78.4,694.74,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,APLLTD.NS,835.05,24.0,-45.0,459.2,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ALKEM.NS,5592.5,45.4,-71.4,1600.92,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,ALKYLAMINE.NS,1607.1,28.1,-59.5,651.65,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,ALOKINDS.NS,16.26,20.9,-93.1,1.12,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ARE&M.NS,928.3,37.8,-86.2,127.79,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,AMBER.NS,6482.5,7.1,-90.8,598.68,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,AMBUJACEM.NS,565.4,40.8,-53.9,260.84,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,ANANDRATHI.NS,3079.4,40.4,-81.9,558.74,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,ANANTRAJ.NS,584.05,13.0,-98.6,8.43,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,ANGELONE.NS,2387.9,9.9,-16.4,1996.23,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,APARINDS.NS,8264.5,9.5,-63.6,3007.62,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,APOLLOHOSP.NS,7129.5,41.9,-93.6,455.9,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,APOLLOTYRE.NS,497.25,44.0,-48.2,257.56,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,APTUS.NS,283.8,28.2,-18.2,232.12,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,ASAHIINDIA.NS,992.1,33.0,-77.3,225.32,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,ASHOKLEY.NS,188.78,45.7,-56.7,81.83,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,ASIANPAINT.NS,2772.6,49.4,-84.9,418.65,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,ASTERDM.NS,613.9,37.3,-96.7,20.45,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,ASTRAZEN.NS,8601.5,31.3,-95.4,393.65,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,ASTRAL.NS,1453.4,29.2,-96.6,48.84,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ATHERENERG.NS,741.65,33.9,0.0,,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,ATUL.NS,6109.5,30.3,-63.7,2219.19,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,AUROPHARMA.NS,1215.4,35.7,-69.2,374.28,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,AIIL.NS,3045.8,39.1,26.8,3863.53,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,DMART.NS,3719.8,37.0,-82.7,643.84,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,AXISBANK.NS,1266.9,55.8,10.3,1397.91,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,BASF.NS,3934.8,30.3,-84.5,609.76,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,BEML.NS,1857.8,8.5,-70.7,543.47,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,BLS.NS,316.8,8.5,-20.8,250.89,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,BSE.NS,2666.5,13.0,-81.1,505.09,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,BAJAJ-AUTO.NS,9502.5,45.7,-57.3,4058.53,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,BAJFINANCE.NS,990.45,39.1,-58.2,414.16,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,BAJAJFINSV.NS,2038.4,41.6,-57.8,859.93,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,BAJAJHLDNG.NS,11181.0,19.1,-18.9,9064.62,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,BAJAJHFL.NS,96.62,28.2,-58.4,40.18,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,BALKRISIND.NS,2368.6,30.1,-90.5,225.0,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,BALRAMCHIN.NS,438.55,19.2,-23.7,334.72,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,BANDHANBNK.NS,144.46,57.4,82.5,263.65,5,Active,⚠️ MED,🐢 SLOW,BULLISH
