symbol,F_Score
HDFCBANK.NS,5
ICICIBANK.NS,6
KOTAKBANK.NS,3
AXISBANK.NS,4
SBIN.NS,3
INDUSINDBK.NS,3
TCS.NS,4
INFY.NS,4
HCLTECH.NS,6
TECHM.NS,7
WIPRO.NS,7
RELIANCE.NS,4
ONGC.NS,5
BPCL.NS,5
COALINDIA.NS,3
NTPC.NS,8
POWERGRID.NS,5
ADANIENT.NS,4
MARUTI.NS,6
M&M.NS,4
TATAMOTORS.NS,0
HEROMOTOCO.NS,5
BAJAJ-AUTO.NS,3
EICHERMOT.NS,5
SUNPHARMA.NS,8
DRREDDY.NS,4
CIPLA.NS,5
DIVISLAB.NS,6
APOLLOHOSP.NS,7
HINDUNILVR.NS,6
ITC.NS,6
NESTLEIND.NS,5
BRITANNIA.NS,7
TATACONSUM.NS,6
ASIANPAINT.NS,5
TITAN.NS,3
TATASTEEL.NS,7
HINDALCO.NS,7
JSWSTEEL.NS,4
BAJFINANCE.NS,1
BAJAJFINSV.NS,2
HDFCLIFE.NS,1
SBILIFE.NS,2
LT.NS,5
ULTRACEMCO.NS,3
GRASIM.NS,1
BEL.NS,7
BHARTIARTL.NS,6
