symbol,current_price,fair_value,valuation_method,upside_potential,is_undervalued
HDFCBANK.NS,1001.6,1601.12,DCF,0.5986,True
ICICIBANK.NS,1355.4,4170.55,DCF,2.077,True
KOTAKBANK.NS,2195.1,2152.79,DCF,-0.0193,False
AXISBANK.NS,1266.9,3280.18,DCF,1.5891,True
SBIN.NS,998.95,1131.26,DCF,0.1324,False
INDUSINDBK.NS,902.45,5852.88,DCF,5.4855,True
TCS.NS,3250.7,2995.32,DCF,-0.0786,False
INFY.NS,1640.4,6.97,"Graham Number (EPS=0.8, BV=2.8)",-0.9958,False
HCLTECH.NS,1640.2,1966.57,DCF,0.199,False
TECHM.NS,1612.0,1511.26,DCF,-0.0625,False
WIPRO.NS,269.0,291.24,DCF,0.0827,False
RELIANCE.NS,1592.3,699.39,DCF,-0.5608,False
ONGC.NS,241.46,715.75,DCF,1.9643,True
BPCL.NS,381.45,309.22,DCF,-0.1894,False
COALINDIA.NS,427.9,392.25,DCF,-0.0833,False
NTPC.NS,352.1,246.65,DCF,-0.2995,False
POWERGRID.NS,270.95,355.08,DCF,0.3105,False
ADANIENT.NS,2279.8,776.71,"Graham Number (EPS=61.5, BV=435.9)",-0.6593,False
MARUTI.NS,16960.0,4571.8,DCF,-0.7304,False
M&M.NS,3802.4,1247.48,"Graham Number (EPS=107.7, BV=642.0)",-0.6719,False
TATAMOTORS.NS,0.0,0.0,No Data,0.0,False
HEROMOTOCO.NS,5933.0,3170.62,DCF,-0.4656,False
BAJAJ-AUTO.NS,9502.5,2727.34,"Graham Number (EPS=262.3, BV=1260.2)",-0.713,False
EICHERMOT.NS,7334.5,3282.51,DCF,-0.5525,False
SUNPHARMA.NS,1728.0,1281.78,DCF,-0.2582,False
DRREDDY.NS,1256.1,342.35,DCF,-0.7275,False
CIPLA.NS,1511.6,1280.0,DCF,-0.1532,False
DIVISLAB.NS,6392.5,1023.28,"Graham Number (EPS=82.5, BV=563.9)",-0.8399,False
APOLLOHOSP.NS,7129.5,1136.79,"Graham Number (EPS=100.6, BV=571.2)",-0.8406,False
HINDUNILVR.NS,2348.0,1090.18,DCF,-0.5357,False
ITC.NS,350.05,440.87,DCF,0.2594,False
NESTLEIND.NS,1279.7,88.22,"Graham Number (EPS=16.6, BV=20.8)",-0.9311,False
BRITANNIA.NS,5984.5,1788.45,DCF,-0.7012,False
TATACONSUM.NS,1170.7,376.68,DCF,-0.6782,False
ASIANPAINT.NS,2772.6,649.87,DCF,-0.7656,False
TITAN.NS,4051.7,333.04,"Graham Number (EPS=37.6, BV=131.0)",-0.9178,False
TATASTEEL.NS,182.88,105.84,DCF,-0.4213,False
HINDALCO.NS,925.7,275.35,DCF,-0.7025,False
JSWSTEEL.NS,1180.7,652.23,DCF,-0.4476,False
BAJFINANCE.NS,990.45,306.12,"Graham Number (EPS=26.8, BV=155.6)",-0.6909,False
BAJAJFINSV.NS,2038.4,753.12,"Graham Number (EPS=55.6, BV=453.5)",-0.6305,False
HDFCLIFE.NS,754.85,118.94,"Graham Number (EPS=8.4, BV=74.9)",-0.8424,False
SBILIFE.NS,2067.4,302.84,"Graham Number (EPS=24.1, BV=169.4)",-0.8535,False
LT.NS,4163.4,1321.4,"Graham Number (EPS=109.3, BV=709.9)",-0.6826,False
ULTRACEMCO.NS,11899.0,3332.96,"Graham Number (EPS=205.3, BV=2404.3)",-0.7199,False
GRASIM.NS,2856.4,1328.81,"Graham Number (EPS=54.6, BV=1437.0)",-0.5348,False
BEL.NS,403.15,66.9,"Graham Number (EPS=7.3, BV=27.3)",-0.8341,False
BHARTIARTL.NS,2106.3,3049.43,DCF,0.4478,True
